processed_text_gpt_lematizado,count
familiar,380
higiene,378
sonda,378
médico,376
cirúrgico,373
venoso,373
bem,373
relação,372
acompanhado,370
lesão,370
poi,369
renal,368
sangramento,368
meses,367
repouso,366
duração,362
prevenir,362
sinal,361
estável,360
soro,358
encaminhado,356
ecg,353
presentes,353
medicamentosa,352
grau,352
alimentar,350
outro,349
demais,349
cama,349
hemodinamicamente,348
ev,347
psanamnese,347
caso,346
nr,346
gerais,345
cp,344
sn,343
jejum,341
medidas,339
vitaispa,338
hospitalar,336
medica,335
tgp,335
medicada,333
acompanhada,333
inicio,332
pulsos,332
visita,329
regular,329
cuff,329
parâmetros,328
frequência,326
banho,324
anestesia,324
acianótico,322
fez,319
mlh,319
procedimentos,318
doenças,318
proteção,317
plaq,317
vias,316
bom,316
hma,314
nenhum,314
ausculta,313
admissão,312
nome,311
dipirona,311
elevado,311
comunicar,310
materiais,310
assistência,309
unidade,307
secreção,307
sistema,307
diagnóstico,307
perda,305
total,305
fisiológico,305
cardiopatia,304
oxigenoterapia,303
riscos,301
passo,301
corada,301
anictérico,300
final,299
durante,299
horário,298
giordano,298
equipo,295
avaliar,295
tgo,295
braden,295
tvp,294
utilizados,294
ht,292
intestinal,292
apos,292
mobilização,291
vem,291
sepse,290
oxigênio,288
fralda,287
aguda,287
cardiológico,285
calmo,284
reavaliação,284
hr,283
http,281
respiratórias,281
mid,281
alteração,279
desde,279
atualmente,279
fixação,278
care,278
suporte,278
aspecto,278
resultado,278
distúrbios,277
seringa,277
hora,276
maca,275
torax,275
apresentou,275
esteril,274
óculos,274
apresentando,273
track,272
fixador,271
realizados,270
ventilatórios,270
estéril,269
circuito,269
casa,269
santos,268
evacuação,268
desconheceantecedentes,268
semana,267
hme,267
edemashipótese,267
destilada,266
hepa,266
coren,266
cefaleia,266
maddox,266
macrogotas,266
mm,266
moléstia,265
intubação,265
allevyn,265
hmef,265
urina,265
impermeável,265
vaso,264
prévias,264
dorsal,263
fisico,263
i,263
circulatórios,262
inspiração,262
vital,261
realizada,261
retirada,261
ac,260
lesões,259
refeições,259
seca,259
inclusão,258
motoras,258
cardiológica,257
paraparesiatetraparesia,256
rx,256
acomodado,254
lombar,254
hidratada,254
deambulando,253
vmi,253
ter,252
ativas,250
true,249
equilíbrio,249
ldl,248
tsh,248
dispneia,248
complicações,247
vo,247
aguarda,247
sob,247
calma,246
sintomaticos,246
mudança,245
flogisticos,244
observar,241
lmin,241
broncoaspiração,240
superior,239
gordura,239
leite,239
adulto,238
inspirada,238
sintomáticos,238
doença,237
sendo,237
flacido,237
verbal,236
contactuando,236
salinizado,235
baixa,235
diarreia,234
expiratória,233
sangue,233
teste,233
neopediatria,232
hpma,231
interface,231
monitorar,231
face,231
umbilical,231
grávidamedicamento,230
coluna,230
mesma,230
medicamento,229
retorna,229
estavel,229
im,229
aplicar,228
atb,228
escalas,227
ante,226
normais,226
técnicoa,226
chamar,225
mmss,225
nascimento,225
ausente,225
solicitar,224
jelco,223
carnes,223
etc,223
administrado,223
espaço,223
contato,222
base,222
ciente,222
l,222
filha,221
avaliado,221
intercorrencias,221
laboratoriais,221
água,220
necessidade,219
sra,218
elevados,218
prevenção,218
spo,218
mobilidade,218
desmame,217
vômitos,216
rcr,216
parto,215
acordo,215
deixo,215
início,214
aumento,213
associado,213
anotar,213
mal,212
incluir,212
enfermaria,212
tórax,212
respiratorio,210
cabeceira,209
ct,208
modo,208
arterial,207
travadas,206
abertura,205
integral,205
ambulatorial,204
imagem,204
min,204
nausea,204
encaminhada,203
doppler,202
númeroágua,202
covid,201
seco,201
administração,201
hiperemia,200
orientar,200
setor,200
receita,200
encaminho,199
cada,199
campainha,198
losartana,197
ansiedade,197
consumo,197
prejudicada,197
semanas,196
normotenso,196
neurológico,196
nova,195
clinica,195
ae,195
cadeira,195
medico,195
global,195
aguardando,194
á,194
consultório,193
necessario,193
semi,193
admitido,193
padrão,192
massas,192
saturação,191
classificação,190
saída,190
hospital,190
cirurgico,190
categórica,190
hdl,189
porém,188
contactuante,187
obesidade,187
fisioterapeuta,187
ontem,187
ph,185
preservado,184
pouco,184
auxilio,184
fazer,183
drc,183
mgdl,183
cuidado,183
mantem,183
intercorrência,182
imc,181
fa,181
posicionamento,181
vomitos,180
diagnostico,180
materno,180
diagnósticos,180
hidratação,180
pequena,180
tec,179
anterior,179
bic,179
ex,178
rb,177
seguimento,177
término,177
sopro,177
orientação,177
preferência,176
limpo,176
possui,176
extremidades,175
globoso,175
muc,175
faz,174
status,174
pré,174
ativo,174
deficit,173
sal,173
cc,173
atividade,172
trauma,172
bnf,172
sensibilidade,172
auxiliar,171
indicação,171
mantém,171
avc,170
dose,170
sic,170
oliveira,170
dra,169
analgesia,169
dado,169
iot,168
deambulação,167
mrc,167
noite,167
enfermeira,166
serviço,166
entrada,166
frituras,165
dengue,165
investigação,165
material,165
associada,164
vit,164
atestado,164
exercícios,163
coleta,162
reg,161
manhã,160
j,160
cerca,160
miopatias,160
poltrona,160
alimentação,160
complementares,159
cb,159
hábito,159
profunda,159
industrializados,158
estimular,158
encontro,157
itu,157
relato,157
realização,157
foco,156
acomodada,156
frequencia,155
dê,155
realizou,155
ofertado,154
pifr,154
seg,154
reação,154
esforço,154
inferior,153
ok,153
mãos,152
cabeça,152
corrente,152
admito,152
medindo,152
alt,152
neg,152
maria,151
possível,151
beira,151
glic,150
feito,150
dificuldade,150
rpa,150
dispositivos,149
embutidos,149
período,149
ausencia,148
nivel,148
andar,148
fe,148
importante,148
toracica,148
acordado,148
ureia,148
temperos,146
ic,146
ruidos,146
vasoativas,145
ef,145
placa,145
tabagismo,145
descrição,145
oclusivo,145
habitual,144
inferiores,144
ii,144
eco,144
líquido,143
membro,143
baixo,143
recebendo,143
pontos,143
função,143
ig,142
vigilância,142
motivo,142
torácica,142
intensidade,141
sne,141
alimentares,141
souza,141
maior,141
r,141
flogísticos,141
grande,140
elevada,140
auxílio,140
dimensões,139
oroscopia,139
últimos,139
infusão,139
ui,138
espontânea,138
crise,138
mora,138
procure,138
máx,138
creat,138
inspiratória,137
triagem,137
mil,137
svd,137
algicas,136
monitorização,136
rico,136
terapêutico,135
tabagista,135
descompressão,135
preparo,135
respirando,135
aguardo,135
bt,135
coto,134
simétricos,134
murphy,134
derrame,134
superiores,134
ainda,134
massa,134
dreno,133
deambula,133
ggt,133
regiao,133
disposição,133
laboratorio,132
usosinais,132
adventicios,132
precoce,132
fração,132
contínuo,131
origem,131
admitida,131
expansibilidade,130
tg,130
adequada,130
familiares,130
pode,130
costa,130
inspiratório,130
excesso,130
frango,129
pronto,129
moderada,129
solicita,129
externo,129
glifage,129
neuro,129
liberado,129
gorduras,129
fratura,129
grave,129
completo,128
iniciou,128
veio,128
pedido,128
transição,128
clinico,128
preparações,127
vegetais,127
puncionado,127
dlp,127
superficial,127
inr,127
cardíaca,127
respiratoria,127
queijos,126
recebe,126
recente,126
retornar,126
agulha,126
dores,126
vaginal,126
segurança,126
atualizar,125
eficaz,125
verificado,125
cardiovascular,125
intervenção,124
colo,124
pleural,124
hbac,124
cisto,124
ritmo,124
quedas,123
prontos,123
pc,123
dva,123
cranio,122
inocente,122
psa,122
diarréia,122
branco,122
ingesta,122
brusca,121
eliminações,121
colesterol,121
todos,121
nutrição,121
rpm,121
eda,120
sedestação,120
periférica,120
prescrito,120
carne,120
expiração,120
plq,120
idade,119
dentro,119
metas,119
redução,119
cirurgica,119
segundo,119
toda,118
lateral,118
contraste,118
so,118
adm,118
pneumonia,118
clorexidina,118
vascular,117
integridade,117
comparece,117
parcial,117
arroz,117
porem,117
confusão,116
anicterico,116
cavidade,116
musculatura,116
joelho,116
flebite,116
cid,115
otoscopia,115
cirurgias,115
diabetes,115
recomendações,115
dum,115
frutas,115
periférico,115
seio,114
tev,114
marcha,114
pulso,114
filho,114
pulmonares,114
cardiaca,113
conferido,113
prévio,113
ocular,113
imobilismo,113
tl,113
acordada,113
soroterapia,112
cervical,112
solicitado,112
rnm,112
criança,112
esq,112
salgadinhos,112
sf,112
tomar,112
pequenos,112
tomografia,112
pé,112
terapia,111
agora,111
mucosa,111
colocar,111
passagem,111
rim,111
onde,111
assumo,111
algia,111
insulina,111
palpáveis,111
acianótica,111
cvp,110
atuais,110
negativa,110
tarde,110
manteiga,110
corpo,110
venosa,110
integra,109
asma,109
menor,109
clara,109
trombose,109
visual,109
alerta,109
tv,109
invasivos,109
espessa,108
calibre,108
miopatiasx,108
aereas,108
vitamina,108
glicose,108
intercorrencia,108
café,108
ingestão,108
acianotico,108
simple,108
pão,108
medicaçao,107
nível,107
pescoço,107
alguns,107
xx,107
vigilancia,106
vezes,106
ja,106
doloroso,106
profilaxia,106
dextro,106
discreta,106
intensa,106
posterior,105
dilatação,105
ativa,105
nl,105
moderado,105
rm,105
hipotireoidismo,105
identificado,105
alcance,105
respiratóriafração,105
plantao,104
anictérica,104
podem,104
desvio,104
reavaliar,104
cronica,104
bloqueio,104
ambo,104
junto,104
mie,104
medium,103
odinofagia,103
observações,103
inguinal,103
líquidos,103
cerebral,103
molho,103
bebidas,103
sbar,103
evolui,103
minutos,103
positivo,102
focais,102
além,102
processo,102
através,102
meníngeos,102
acianotica,102
lavagem,102
cirurgião,102
menos,101
pai,101
hemorroidas,101
náuseas,101
irpm,101
fossa,101
crônica,101
óleo,101
dir,101
iv,101
cai,101
transparente,101
anicterica,101
prévia,101
saúde,100
novo,100
co,100
inspiratóriopressão,100
situação,100
comum,100
queijo,100
ortopedia,100
discreto,99
numérica,99
tqt,99
vida,99
filhos,99
notificação,99
z,99
faça,99
controles,99
contornos,99
pelve,99
pacientes,98
coriza,98
autocuidado,98
açúcar,98
fetal,98
furosemida,98
mão,97
solicitação,97
correntepressão,97
garantir,97
kgm,97
documento,97
ferida,97
tto,97
qualquer,96
pre,96
apetite,96
soja,96
raqui,96
refluxo,96
outra,95
insuficiência,95
urinário,95
média,95
cheios,95
adequado,95
dpoc,95
neoplasia,95
etilismo,95
cirúrgica,95
ampola,95
gordurosos,95
creme,95
física,95
murmurio,94
crânio,94
consciência,94
atenção,94
ttpa,94
antissepsia,94
melhor,94
empastamento,94
item,94
forma,94
dependente,94
esposa,94
apenas,94
ombro,94
enteral,93
mialgia,93
áreas,93
fisica,93
encontrase,93
ferro,93
ás,93
mae,93
par,93
nada,93
antibiótico,93
ate,93
roupa,93
otimizo,93
intestino,92
eventos,92
regulares,92
espessamento,92
aéreas,92
sono,91
pth,91
lúcido,91
contra,91
pantoprazol,91
raabdome,91
liberada,91
punção,91
reativo,91
psi,90
garganta,90
projeto,90
dorso,90
registro,90
flanco,90
parede,89
sexo,89
passou,89
constipação,89
bcf,89
apresentar,89
encaminhamento,89
secundário,89
cmho,89
iogurte,89
iniciado,89
melhorar,88
multidisciplinar,88
aberto,88
mcg,88
aplicado,88
problemas,88
suportefrequência,88
termino,88
saida,88
ultima,88
trouxe,87
ferritina,87
cozidas,87
mental,87
vcm,87
lobo,87
deu,86
feve,86
enfermeiroa,86
operatória,86
berço,86
colaborativo,86
usar,86
anemia,86
espontanea,86
prurido,86
recusa,85
quadril,85
permeabilidade,85
estimado,85
hematoma,85
anestesista,85
naturais,85
devem,84
assadas,84
coco,84
efeitos,84
pco,84
terapeutico,84
bexiga,84
institucional,84
dietética,84
pe,84
dormindo,84
travada,84
nodulo,84
aaa,84
au,84
quais,84
identificar,84
sentado,84
pega,84
sítio,83
dúvidas,83
be,83
efetiva,83
falta,83
seguir,83
sonolento,83
culturas,83
amp,83
xdia,83
branca,82
cristina,82
neurologico,82
f,82
tireoide,82
consultorio,82
acima,82
gl,82
aorta,82
olho,82
cirurgicos,82
sucesso,82
última,82
iniciar,82
prefira,81
fo,81
diário,81
ecott,81
consumir,81
instalado,81
manutenção,81
hernia,81
som,81
prontuario,81
laudo,81
físicobeg,81
digno,81
efeito,81
glw,81
dp,81
grelhadas,80
funcionante,80
inspiratóriarelação,80
referindo,80
últimas,80
produtiva,80
preservados,80
pulseiras,80
próxima,80
neste,80
longo,80
histórico,80
hiv,80
imediato,80
nutricionais,80
gordurosas,80
pcte,80
roncos,79
fontes,79
bid,79
tax,79
agudo,79
liberação,79
prontuário,79
orofaringe,79
hemodinâmica,79
ativos,79
difusa,79
informa,79
aparecida,79
ob,79
sangramentos,78
somente,78
debito,78
rnc,78
instável,78
deglutição,78
op,78
aneurisma,78
estresse,78
modopressão,78
qt,78
prioridade,78
anatomia,77
conforto,77
fio,77
bilaterais,77
bolsa,77
pequeno,77
almoço,77
sinusal,77
novamente,77
opme,77
continuo,77
limpeza,76
enfermeiro,76
tronco,76
periferico,76
artéria,76
pereira,76
anlodipino,76
meningeos,76
emergencia,76
ea,76
socorro,76
noturno,76
prescrita,76
sa,76
dormir,76
sacado,76
cicatriz,76
veia,76
normalidade,76
impressão,76
utilizar,75
fígado,75
salsicha,75
creatinina,75
compreende,75
estenose,75
biografia,75
vm,75
abaixo,75
sp,75
tipos,75
in,75
alb,74
nutricionista,74
ciclo,74
necessidades,74
psicologia,74
alimento,74
vesical,74
confirmado,73
incisão,73
vai,73
preencher,73
tentativa,73
explico,73
parametros,73
parênquima,73
hp,73
urc,73
devese,73
lado,73
recebeu,73
natural,73
exercicios,73
termo,73
importância,72
fazendo,72
ext,72
bisturi,72
retirado,72
álgicas,72
verbalmente,72
conjunto,72
implante,72
score,72
amarelo,72
organismo,72
rocha,72
doi,72
raio,72
domiciliar,72
refeição,72
alteraçoes,71
sd,71
simétrico,71
aferição,71
oe,71
técnica,71
abdomen,71
lucido,71
trabalho,71
internado,71
ateromatose,71
posição,71
kcal,71
adotar,71
paredes,71
assim,70
estáveis,70
hco,70
limpa,70
imagens,70
sopa,70
choque,70
mitral,70
iii,70
perna,70
íntegra,70
isolamento,70
movimentos,69
localização,69
distal,69
maionese,69
carboidratos,69
xr,69
checo,69
respiratorias,69
lima,69
possibilidade,69
diária,69
placas,69
bi,69
aleitamento,69
andador,69
ceftriaxona,69
análise,69
patológica,68
v,68
síndrome,68
cardio,68
pessoas,68
tome,68
case,68
cvc,68
birads,68
rima,68
cardiologia,68
puran,68
referencia,68
álcool,68
cetoprofeno,67
justificativa,67
verificar,67
posicionado,67
passado,67
boca,67
lpp,67
salame,67
icc,67
urocultura,67
prejudicado,67
rins,67
terço,67
pt,67
medicamentosas,67
lesao,67
sonolenta,67
xsemana,67
mantido,67
evoluindo,67
déficits,67
coma,66
monitor,66
sudorese,66
integrais,66
comunico,66
sensação,66
utero,66
tazocin,66
dx,66
episódios,66
comunicado,66
coloração,66
cistos,66
gestante,66
primário,66
possíveis,66
descartável,66
débito,66
comprimido,66
hemodinamica,65
hepática,65
calcio,65
mellitus,65
evento,65
sinvastatina,65
fala,65
ana,65
rodrigues,65
pequenas,65
irradiação,65
central,65
emergência,65
leuc,65
isocoricas,65
kefazol,65
ir,65
relacionado,65
dos,65
procurar,65
médio,65
linfonodomegalias,65
af,65
objetivo,65
higienização,65
preferências,65
inserir,65
preservadas,65
legume,64
monitoro,64
treino,64
expiraçãofluxotempo,64
orientaçoes,64
ira,64
chocolate,64
roxa,64
gasometria,64
heparina,64
dhl,64
col,64
presunto,64
prato,64
quarto,64
ve,64
saturada,64
pérvias,64
coletado,64
opção,64
mvpeplbhmaterdeicombrmvpepptbrdmvpeplistaurgencialistapacienteshmvpeptemadoceletronicoeditor,64
alves,64
seguindo,64
atividades,64
responsável,64
oximetria,64
ferreira,64
inicial,64
infeccioso,63
vni,63
industrializadas,63
elevação,63
disuria,63
nódulo,63
gas,63
finalizado,63
antropométrica,63
assepsia,63
claro,63
pregressa,63
lactato,63
extubação,63
evoluiu,63
formação,63
uf,63
consuma,63
mvf,63
linguiça,63
ingredientes,63
aceitou,63
colocado,62
colecistectomia,62
estatura,62
colonoscopia,62
hemograma,62
temp,62
verbais,62
use,62
oncológica,62
confirmo,62
q,62
condimentados,62
abacate,62
hábitos,62
margarina,62
oxigêniosensibilidaderelaçãovolume,62
comunicativa,62
ouvido,62
amarelada,61
od,61
saudável,61
enf,61
focos,61
biliar,61
mensal,61
picada,61
urinario,61
peça,61
manha,61
sc,61
normotensa,61
interna,61
usa,61
cubital,61
bastante,61
congestão,61
frontal,61
hepatite,61
segmento,61
oncologia,61
forte,61
ktv,61
todo,61
fragilidade,61
critérios,61
porco,60
arritmia,60
laboratório,60
saturando,60
estudo,60
banheiro,60
respiração,60
converso,60
corretamente,60
nebulização,60
fico,60
avalio,60
toque,60
amilase,60
kelly,60
sistêmica,60
padrao,60
primeira,60
doces,60
companheiro,60
febril,60
re,60
prévios,59
vomito,59
gestação,59
mgdia,59
drenagem,59
bengala,59
funcional,59
estruturas,59
glúteo,59
fibras,59
suspenso,59
aversões,59
crisis,59
dexametasona,59
uterina,59
ovo,59
gli,59
mesa,59
aparente,59
duplo,59
pct,59
duvidas,59
qp,59
especial,58
nota,58
conteúdo,58
programação,58
tontura,58
condições,58
trazido,58
bd,58
retornos,58
cardiologista,58
suco,58
vacinas,58
grupo,58
gripe,58
scalp,58
diminua,58
espontaneamente,57
rigidez,57
bacon,57
proteína,57
intima,57
coração,57
fruta,57
diminuido,57
cardíaco,57
multi,57
ciclos,57
monitorizado,57
drenos,57
pouca,57
fonoaudiologia,57
suspeita,57
desconhecido,57
atorvastatina,57
ingerir,57
contêm,57
morse,57
picc,57
supra,57
recepção,57
jantar,57
pulmão,56
glicada,56
jugular,56
atenolol,56
dispositivo,56
acamado,56
renais,56
passiva,56
suplementação,56
troponina,56
pav,56
mapa,56
comunicativo,56
crm,56
conta,56
auxiliam,56
vitd,56
mantenha,56
agitação,56
nesta,56
infecciosa,56
deverá,56
apoio,56
disfunção,56
gastrite,56
mês,56
mortadela,55
nitrito,55
resultados,55
vermelha,55
nefrologia,55
porta,55
remoção,55
me,55
peritonite,55
dislipidemia,55
necessita,55
ganho,55
ovos,55
med,55
entregue,55
nph,55
verifico,55
peixe,55
gluteo,55
aporte,55
reavalio,55
fraqueza,55
coxa,55
ras,55
hctz,55
novos,54
extabagista,54
vegetal,54
transferido,54
sódio,54
stent,54
enalapril,54
adornos,54
campos,54
contenham,54
fixado,54
estaveis,54
operatório,54
duas,54
metformina,54
tfg,54
omeprazol,54
etiologia,54
decubitos,54
intestinais,54
dac,54
achados,54
internada,54
sindrome,54
verdes,54
bipap,54
condição,54
avaliada,53
pães,53
angioplastia,53
seguintes,53
porções,53
mf,53
prostata,53
ósseas,53
confortável,53
lombalgia,53
pérvio,53
amarelos,53
irregular,53
vitaminas,53
gordas,53
anti,53
correção,53
meio,53
previnir,53
palpaveis,53
vmg,53
horario,53
reagente,53
atesto,53
nariz,53
comida,52
desejo,52
soprosmv,52
canal,52
parte,52
paula,52
podendo,52
enchimento,52
informações,52
ambientes,52
posto,52
principalmente,52
pico,52
acamada,52
cno,52
rio,52
frente,52
importantes,52
calcificações,52
vol,52
cardápio,52
chaaae,52
parcialmente,52
ricota,52
aumentado,52
atentar,51
vacinação,51
liquido,51
tendo,51
historia,51
mente,51
previo,51
castanhas,51
quibe,51
nervoso,51
exantema,51
braço,51
ventricular,51
algumas,51
out,51
flogistico,51
capacidades,51
depressão,51
cefaléia,51
desnatados,51
vigil,51
gástrico,51
despertar,51
anteriores,51
oliva,51
isquemia,51
unidades,51
hipotensão,51
feijão,51
levemente,50
palpaçao,50
sucção,50
densidade,50
qse,50
ist,50
ideal,50
solução,50
algum,50
pm,50
chamado,50
hf,50
pu,50
resposta,50
ave,50
colaborativa,50
níveis,50
repetição,50
provável,50
cumprir,50
avci,50
patológicos,50
alguma,50
acolhimento,50
fonte,50
coloco,50
estimada,50
light,50
tomate,50
lanche,50
absorção,50
tecido,50
pernas,50
fortalecimento,50
intervalos,49
focal,49
desfecho,49
area,49
estimulo,49
respiratórios,49
banha,49
independente,49
potassio,49
episodios,49
maculosa,49
fica,49
propósito,49
levotiroxina,49
cir,49
anormalidades,49
compressiva,49
muco,49
sucos,49
periferica,49
esclareço,49
ipap,49
animais,49
sacral,49
ofertada,49
dd,49
grama,49
colono,49
comer,49
grandes,49
esforços,49
terciário,49
gj,49
procedência,49
hipocorada,49
evitados,49
paio,48
mar,48
estimulos,48
frequentou,48
carrapato,48
gestacional,48
manobras,48
ineficaz,48
acomodo,48
tratada,48
especialidades,48
deficiência,48
eliminação,48
bacteriana,48
nanda,48
consentimento,48
transporte,48
aval,48
petéquiassufusãoequimose,48
chantilly,48
visto,48
bbreve,48
tolerância,48
finalizo,48
subjetiva,48
aves,48
datado,48
colocação,48
negasinais,48
vaga,48
substituir,48
cebola,48
aproximadamente,48
vínculo,48
partes,48
pervias,48
noradrenalina,48
filme,48
tratar,48
epidemiológico,48
oleaginosas,48
sementes,48
descompensada,48
trs,48
elegível,48
caminhada,48
morte,48
residual,48
sistolica,48
comp,48
requeijão,48
pam,47
monitoramento,47
permanecer,47
concordante,47
sutura,47
checagem,47
degermante,47
urologia,47
epidemiológicos,47
oferta,47
canola,47
texto,47
tvpextremidades,47
esteatose,47
anal,47
simetricos,47
hemodiálise,47
vacina,47
vasos,47
pasto,47
fazenda,47
mecanica,47
terreno,47
cpk,47
matas,47
palidez,47
toucinho,47
pesqueiro,47
chácara,47
baldio,47
gramado,47
bomba,47
submetido,47
demanda,47
comidas,47
ajuste,47
nozes,47
estevese,47
lagoa,47
ajudam,47
continuum,47
verde,47
responde,47
hipotese,46
coletor,46
especificada,46
colchão,46
assistida,46
notaneurológico,46
urinária,46
mínimo,46
cate,46
maioria,46
ervilha,46
paliativos,46
distensão,46
administrar,46
equipamento,46
ficar,46
adição,46
pot,46
íntima,46
ponto,46
concorda,46
desnatado,46
ronda,46
própria,46
alcool,46
ortopedista,46
suplemento,46
sertralina,46
transoperatório,46
taquicardia,46
cateterismo,46
cinesioterapia,46
xmmhg,45
bx,45
mao,45
hmg,45
aplicação,45
mvua,45
amendoim,45
caseira,45
instituição,45
gripais,45
cn,45
biscoitos,45
pastel,45
balanço,45
milho,45
apresentam,45
colica,45
dedo,45
diárias,45
sonolência,45
ortostatismo,45
duvidosa,45
atentandose,45
muita,45
plaquetas,45
varizes,45
hmc,45
proximal,45
solicitados,45
longa,45
deve,45
meníngeosoroscopia,45
sugiro,44
primario,44
rosuvastatina,44
motores,44
man,44
atenuação,44
curtos,44
medio,44
diu,44
continuidade,44
alteraçõesotoscopia,44
espessura,44
isofotorreagentes,44
historico,44
ajuda,44
difuso,44
microscópio,44
tep,44
sousa,44
roupas,44
mmg,44
eupneicobrnf,44
alho,44
graus,44
trendelemburg,44
acionamento,44
correta,44
aj,44
herniorrafia,44
lateralidade,44
pnm,44
adverso,44
linha,44
tortas,44
hipertensiva,44
olhos,44
paravertebral,44
aveia,44
ctb,44
simetrico,44
programa,44
completa,44
cnaf,44
traz,43
du,43
antecedente,43
internações,43
fresco,43
associados,43
nrs,43
difusos,43
recheados,43
sol,43
femoral,43
beba,43
agudizada,43
tornozelo,43
morfologia,43
uterino,43
alcoólicas,43
normo,43
produtos,43
utilizado,43
corporal,43
coxinha,43
empada,43
holter,43
picanha,43
idealmente,43
pac,43
desconhece,43
bolo,43
aferida,43
basicamente,43
método,43
ajudem,43
colon,43
influenza,43
sacrum,43
hídrica,43
meropenem,43
auto,43
funcionalidade,43
restante,43
volta,43
mantida,43
labial,43
acessória,43
penicilina,43
expiraçãofluxo,43
colher,42
soares,42
evidenciado,42
especificar,42
chia,42
óbito,42
sedativos,42
lista,42
antibioticoterapia,42
descorado,42
interconsulta,42
características,42
idoso,42
qd,42
provavel,42
submetida,42
esclerose,42
vicios,42
fono,42
emocional,42
rebaixamento,42
fav,42
forneço,42
compatível,42
curativos,42
obstrução,42
gaso,42
cansaço,42
pra,42
mvpeplbhmaterdeicombrmvpepptbrdmvpeplistapacientelistapacienteshmvpepalergiaseventos,42
natal,42
valva,42
minimamente,42
amigdalite,42
feto,42
urico,42
deseja,42
sessão,42
costela,42
aguardar,42
tramal,42
versões,42
alojamento,42
biópsia,42
sed,41
medo,41
amoxicilina,41
artérias,41
referese,41
morfina,41
minerais,41
